Kanji|Russian|Utility|Use
乱|беспорядок|6|755
卵|яйцо|6|1342
覧|осматривать|6|1510
裏|изнанка|6|812
律|ритм|6|992
臨|присутствовать|6|722
朗|звучный|6|1374
論|теория|6|227
哀|печаль|7|1715
扱|обращаться|7|1057
偉|великий|7|1639
違|отличаться|7|344
逸|отклоняться|7|1524
陰|тень|7|1393
隠|прятать|7|1089
影|силуэт|7|464
鋭|острый|7|1395
越|пересекать|7|897
汚|грязь|7|908
奥|глубь|7|1018
押|надавливать|7|789
懐|ностальгия|7|1493
皆|все|7|1267
隔|разделять|7|1382
掛|вешать|7|1027
乾|сухой|7|1453
勧|советовать|7|1068
換|обменивать|7|687
甘|сладкий|7|1248
緩|ослаблять|7|933
缶|консервная банка|7|1543
奇|необыкновенный|7|1367
幾|сколько|7|1725
鬼|чёрт|7|1557
鬼||7|1557
儀|церемония|7|739
吉|удача|7|711
詰|набивать|7|1020
丘|холм|7|1405
及|достигать|7|544
巨|огромный|7|892
虚|пустота|7|1454
恐|страх|7|878
況|положение|7|490
狂|сумасшедший|7|1425
狭|узкий|7|1346
響|эхо|7|502
驚|изумляться|7|1141
傾|наклон|7|938
刑|кара|7|864
契|обещание|7|898
恵|благодеяние|7|925
慶|поздравлять|7|1300
携|иметь при себе|7|1017
継|следовать|7|743
迎|выходить навстречу|7|625
撃|нападать|7|473
兼|одновременно|7|1164
剣|меч|7|1305
圏|сфера|7|1216
堅|твёрдый|7|1049
堅||7|1049
嫌|нелюбовь|7|1207
顕|выявлять|7|1536
互|взаимный|7|914
御|префикс уважения|7|1087
荒|бурный|7|1099
込|внутрь|7|675
婚|брак|7|767
魂|душа|7|1748
彩|расцвечивать|7|1251
歳|возраст|7|269
載|грузить|7|825
剤|снадобье|7|1151
削|срезать|7|814
刺|вонзать|7|1031
湿|сырой|7|1517
趣|прелесть|7|1153
寿|долголетие|7|1245
柔|мягкий|7|1187
瞬|мгновение|7|1265
巡|патрулировать|7|1262
緒|начало|7|952
召|вызывать|7|1540
床|постель|7|1175
焦|подгорать|7|973
称|название|7|985
詳|подробный|7|1178
丈|крепкий|7|1375
冗|избыточный|7|1782
浄|священный|7|1383
畳|татами|7|1665
飾|украшать|7|1193
触|трогать|7|904
伸|растягивать|7|730
寝|ложиться спать|7|1034
振|трястись|7|614
辛|острый на вкус|7|1607
刃|лезвие|7|1763
尽|исчерпывать|7|1234
吹|дуть|7|1133
是|правильность|7|1045
姓|фамилия|7|1628
請|просить|7|524
斉|единообразие|7|1209
惜|жалко|7|1641
鮮|свежий|7|355
疎|чуждаться|7|1572
粗|грубый|7|1689
双|пара|7|1029
騒|шуметь|7|1069
憎|ненавидеть|7|1808
贈|подарок|7|1001
即|немедленно|7|1167
俗|житейский|7|1610
駄|вьюк|7|1500
耐|выдерживать|7|1295
怠|лень|7|1703
替|обмен|7|979
滞|застой|7|1107
袋|мешок|7|1125
卓|стол|7|1348
沢|болото|7|296
託|доверять|7|1021
諾|согласие|7|1490
脱|снимать|7|782
淡|пресный|7|1436
端|оконечность|7|960
弾|пуля|7|853
恥|стыд|7|1575
致|навлекать|7|870
遅|поздний|7|833
逐|один за другим|7|2230
駐|пребывать|7|955
徴|признак|7|850
眺|глядеть|7|1726
超|сверх-|7|597
超||7|597
沈|погружаться|7|1271
珍|редкостный|7|1330
帝|император|7|1276
廷|суд|7|1439
締|затягивать|7|797
泥|жидкая грязь|7|1589
添|добавлять|7|1501
殿|дворец|7|1199
塗|намазывать|7|1414
渡|переправляться|7|446
途|путь|7|717
奴|парень|7|1932
怒|гнев|7|1221
倒|валиться|7|791
凍|замерзать|7|1284
棟|конёк|7|1406
棟||7|1406
盗|красть|7|1051
到|доходить|7|1032
踏|ступать|7|723
逃|убегать|7|931
透|прозрачный|7|1035
闘|бороться|7|751
胴|туловище|7|1904
突|ударять|7|521
豚|свинья|7|1864
曇|пасмурный|7|1899
鈍|тупой|7|1574
軟|мягкий|7|1269
如|подобно|7|1704
悩|страдать|7|1084
濃|густой|7|1200
廃|упразднять|7|698
杯|чарка|7|1235
泊|ночевать|7|1233
薄|тонкий|7|1009
爆|взрыв|7|735
肌|кожа|7|1559
髪|волосы|7|1474
罰|наказывать|7|1220
抜|вытаскивать|7|726
伴|сопровождать|7|886
般|категория|7|649
範|образец|7|1088
卑|вульгарный|7|2003
彼|он|7|648
疲|усталость|7|1263
被|подвергаться|7|431
避|избегать|7|756
尾|хвост|7|875
微|мельчайший|7|1108
怖|страшный|7|1325
敷|стелить|7|1212
普|распространённый|7|757
普||7|757
浮|всплывать|7|776
符|ярлык|7|1798
舞|танцевать|7|655
柄|рукоятка|7|1140
壁|стена|7|1037
崩|рушиться|7|778
邦|родная страна|7|654
飽|приедаться|7|1780
坊|мальчик|7|1832
帽|головной убор|7|1742
忙|занятой|7|1475
房|камера|7|808
僕|я|7|1236
又|опять|7|1874
妙|чудесный|7|1122
眠|спать|7|1315
娘|дочь|7|1145
滅|гибнуть|7|1222
免|освобождать|7|1080
網|сеть|7|1194
黙|молчать|7|1338
戻|возвращать|7|890
唯|только|7|1292
憂|беспокойство|7|1625
誘|завлекать|7|993
与|давать|7|308
踊|плясать|7|1308
頼|просить|7|708
離|отделяться|7|555
了|понимать|7|792
涼|прохладный|7|1783
