再び |ふたたび |again; once more; a second time |1050
普段 |ふだん |[1] usual; normal; everyday; habitual; ordinary [2] usually; normally; generally; habitually; always |787
縁 |ふち |rim; brim; edge; brink |N/A
筆 |ふで |[1] writing brush; paintbrush; pen [2] writing with a brush; drawing with a brush; penmanship; something drawn with a brush [3] writing (composing text); the written word |4032
不図 |ふと |suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally |1815
不平 |ふへい |discontent; dissatisfaction; complaint; grievance |N/A
不満 |ふまん |dissatisfaction; discontent; displeasure; complaint; unhappiness |2194
不利 |ふり |disadvantage; handicap; unfavorable position |N/A
振る |ふる |[10] to bring up a topic; to lead to a topic [11] to replace; to substitute [12] to set up a joke for someone else |974
震える |ふるえる |to shiver; to shake; to quake; to tremble; to quaver; to quiver |2563
故郷 |ふるさと |[1] hometown; birthplace; native place; one's old home [2] ruins; historic remains |4002
触れる |ふれる |[1] to touch; to feel [2] to touch (with) [3] to experience; to come in contact with; to perceive |821
雰囲気 |ふんいき |[1] atmosphere; mood; ambience; ambiance; aura; feel [2] a certain air; presence; special aura; something (about someone) [3] (Earth's) atmosphere |771
分 |ぶ |[1] one-tenth; one percent (one-tenth of a wari); 3 mm (one-tenth of a sun); 2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes); 0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale) [2] one-quarter of a ryō (obsolete unit of currency) [3] thickness |N/A
無 |ぶ |[1] un-; non- [2] bad ...; poor ... |N/A
武器 |ぶき |[1] weapon; arms; ordnance [2] weapon (something used to gain an advantage); asset |2912
無事 |ぶじ |[1] safety; security; peace; quiet [2] safely; without incident; successfully [3] good health |1505
舞台 |ぶたい |[1] stage (of a theatre, concert hall, etc.); (stage) performance [2] setting (of a story); scene [3] sphere (of activity); stage (e.g. political stage); scene; arena; world |1418
物価 |ぶっか |prices of commodities; prices (in general); cost-of-living |4117
物質 |ぶっしつ |[1] material; substance [2] matter |2390
打つ |ぶつ |[1] to hit (someone); to strike; to beat [2] to make (a speech); to give (an address) [3] to gamble |N/A
部分 |ぶぶん |portion; section; part |349
ブレーキ |[1] brake [2] (a) stop (to a development, behavior, etc.); (the) brakes |N/A
分 |ぶん |[1] part; portion; share [2] amount; worth (as in "two days' worth"); enough (for) [3] one's means; one's place; one's lot; one's social position |990
文 |ぶん |[1] sentence [2] composition; text; writings [3] the literary arts (as opposed to the military arts); academia; literature |3031
分析 |ぶんせき |analysis |2057
文明 |ぶんめい |[1] civilization; civilisation; culture [2] Bunmei era (1469.4.28-1487.7.20) |3109
分野 |ぶんや |field; sphere; realm; division; branch |1483
プラス |[1] plus; addition [2] positive (number) [3] plus sign; positive symbol |1788
プラン |[1] plan; scheme [2] (payment) plan; package; deal; offer |4421
プロ |[1] professional; pro [2] program [3] production |1412
塀 |へい |[1] wall [2] fence |N/A
平均 |へいきん |[1] average; mean [2] balance; equilibrium |3055
平和 |へいわ |peace; harmony |1716
減らす |へらす |to abate; to decrease; to diminish; to shorten |2162
減る |へる |to decrease (in size or number); to diminish; to abate |957
変化 |へんか |[1] change; variation; alteration; mutation; transition; transformation; transfiguration; metamorphosis [2] variety; diversity [3] inflection; declension; conjugation |539
変更 |へんこう |change; modification; alteration; revision; amendment |1155
別に |べつに |[1] (not) particularly; (not) especially; (not) specially [2] separately; apart; additionally; extra |2917
ベルト |[1] belt (worn around the waist) [2] (machine) belt [3] belt; zone; area |N/A
ベンチ |bench |4742
弁当 |べんとう |bento; Japanese box lunch |2001
ペンキ |paint |N/A
方 |ほう |[1] direction; way; side; area (in a particular direction) [2] side (of an argument, etc.); one's part [3] type; category |91
法 |ほう |[1] law; act; principle [2] method [3] mood |2171
方向 |ほうこう |[1] direction; orientation; bearing; way [2] course (e.g. of action) |1024
報告 |ほうこく |report; information |1115
宝石 |ほうせき |gem; jewel; precious stone |N/A
放送 |ほうそう |broadcasting; broadcast; program; announcement |2248
豊富 |ほうふ |abundant; plentiful; rich; ample |2127
方法 |ほうほう |method; way; manner; process; procedure; means; measure |368
方々 |ほうぼう |here and there; this way and that way; everywhere; all over |N/A
訪問 |ほうもん |call; visit |2966
吠える |ほえる |[1] to bark; to howl; to bay; to roar; to yelp; to yap [2] to howl (of the wind); to roar (of the sea) [3] to yell; to shout; to cry; to moan |N/A
頬 |ほお |cheek (of the face) |3504
誇り |ほこり |pride; boast; credit (to) |3084
埃 |ほこり |[1] dust [2] Hokori |4905
保証 |ほしょう |[1] guarantee; security; assurance; pledge [2] warranty |3372
保障 |ほしょう |[1] guarantee; security; assurance; pledge [2] warranty |3735
保存 |ほぞん |[1] preservation; conservation; storage; maintenance [2] saving (e.g. to disk) |1688
仏 |ほとけ |[1] Buddha; Shakyamuni [2] Buddhist image; figure of Buddha [3] the dead; dead person; departed soul |N/A
程 |ほど |[1] extent; degree; measure [2] limit; bounds [3] (span of) time |N/A
歩道 |ほどう |footpath; walkway; sidewalk; pavement |4481
骨 |ほね |[1] bone [2] frame [3] outline; core |1715
炎 |ほのお |[1] flame; blaze [2] flames (of intense emotion, e.g. love, jealousy, anger); passion |3926
微笑む |ほほえむ |to smile |4059
略 |ほぼ |almost; roughly; approximately; about; around |1002
堀 |ほり |[1] moat; fosse [2] canal; ditch |N/A
本人 |ほんにん |the person in question; the person themselves; said person |959
本物 |ほんもの |genuine article; real thing; real deal |2425
ホーム |platform |2632
棒 |ぼう |[1] pole; rod; stick; baton [2] line; dash [3] spoken monotonously |3364
冒険 |ぼうけん |[1] adventure; venture [2] venture which is unlikely to succeed; risky attempt; danger; hazard; risk |N/A
ぼんやり |[1] dimly; faintly; indistinctly; vaguely [2] absentmindedly; vacantly; carelessly [3] idly; aimlessly |4200
ボーイ |[1] boy [2] bellboy; porter; waiter |N/A
ボート |boat; rowing boat |N/A
ボール |[1] ball [2] ball (pitch delivered outside the strike zone) |1022 
