操作 |そうさ |[1] operation; management; handling [2] manipulating (to one's benefit); manipulation; influencing |2462
想像 |そうぞう |imagination; supposition; guess |925
相続 |そうぞく |[1] succession [2] inheritance |N/A
相談 |そうだん |consultation; discussion; discussing; asking (someone) for advice |844
装置 |そうち |[1] equipment; device; installation; apparatus [2] stage setting |4667
相当 |そうとう |[1] corresponding to (in meaning, function, etc.); being equivalent to [2] appropriate; suitable; befitting; proportionate [3] to be proportionate to; to be in keeping with; to be deserving of; to be worthy of |981
速度 |そくど |[1] speed; velocity; pace; rate [2] velocity |3780
底 |そこ |bottom; sole |1760
其処で |そこで |so; accordingly; now; then; thereupon; therefore |1629
組織 |そしき |[1] organization; organisation; formation [2] structure; construction; setup; constitution [3] system (e.g. railroad, transport, party, etc.) |1298
注ぐ |そそぐ |[1] to pour (into) [2] to sprinkle on (from above); to water (e.g. plants); to pour onto; to spray [3] to shed (tears) |2286
育つ |そだつ |to be raised (e.g. child); to be brought up; to grow (up) |903
|そっくり |[1] all; altogether; entirely; completely [2] exactly alike (e.g. in appearance); spitting image of; identical; strikingly similar |3934
率土 |そっと |ends of the earth; outer reaches; borderland |2568
袖 |そで |[1] sleeve [2] wing (of a stage, desk, gate, etc.) [3] flap (of a dust jacket) |N/A
備える |そなえる |[1] to furnish with; to equip with; to provide; to install [2] to prepare for; to make preparations for; to make provision for [3] to possess (all that is needed); to be endowed with; to be equipped with |2181
その内 |そのうち |[1] before very long; soon; someday; one of these days; sooner or later [2] of the previously mentioned; of that number; among them; among others |N/A
其のまま |そのまま |[1] without change; as is [2] just like; extremely similar [3] immediately; just after; without a pause |N/A
|ソファ |sofa; couch |3866
粗末 |そまつ |crude; rough; plain; humble; shabby; poor-quality; low-quality |N/A
其れ其れ |それぞれ |each; respectively |367
其れでも |それでも |but (still); and yet; nevertheless; even so; notwithstanding |561
其れとも |それとも |or; or else |1492
損 |そん |[1] loss; damage; harm; unprofitable [2] disadvantage; handicap; drawback; unfavorable |4042
損害 |そんがい |damage; injury; loss |4774
尊敬 |そんけい |respect; esteem; reverence; honour; honor |2986
存在 |そんざい |existence; being; presence |423
尊重 |そんちょう |respect; esteem; regard |3624
象 |ぞう |elephant (Elephantidae spp.) |4700
増加 |ぞうか |increase; rise; growth; addition; increment |800 
